transaction_date,house_age,distance_to_mrt,num_convenience_stores,latitude,longitude,price_per_unit_area,price_per_mrt_distance
2012.917,0.7305936073059361,0.0095126716264657,1.0,0.6169413475521424,0.7193228380417622,37.9,37.54286703398959
2012.917,0.4452054794520548,0.0438093908723887,0.9,0.5849491032477658,0.7114513694198195,42.2,40.42883726571031
2013.583,0.3036529680365297,0.0833150513098478,0.5,0.6712312166747552,0.7588958378260031,47.3,43.662275293608324
2013.5,0.3036529680365297,0.0833150513098478,0.5,0.6712312166747552,0.7588958378260031,54.8,50.58546905052296
2012.833,0.1141552511415525,0.05679908927803,0.5,0.5731943771207284,0.7431529005821176,43.1,40.78353249664938
2012.667,0.1621004566210045,0.3328333476285393,0.3,0.3754241396025577,0.4206383437567638,32.1,24.084031253505426
2012.667,0.7876712328767124,0.092826581341097,0.7000000000000001,0.5727096461464498,0.6781324131982274,40.3,36.87684824663083
2013.417,0.4634703196347032,0.0408715311608407,0.6000000000000001,0.585918565196323,0.7413198188482966,46.7,44.866247756740385
2013.5,0.723744292237443,0.8490274357443697,0.1,0.22879301987399,0.1191503127020041,18.8,10.167507326591732
2013.417,0.408675799086758,0.2722189728867981,0.3,0.4270479883664961,0.445654518007359,22.1,17.371223406496437
2013.083,0.7945205479452055,0.0590644906257212,0.1,0.5019389238972849,0.6490187621307086,41.4,39.091103862371845
2013.333,0.1438356164383561,0.0103754020472508,0.9,0.5121182743577606,0.7501617425057248,58.1,57.50337932047451
2012.917,0.2968036529680365,0.0725250893237928,0.5,0.4008725157538038,0.6883761052404225,39.3,36.64249945404813
2012.667,0.4657534246575343,0.3784066639856608,0.4,0.3515511391178165,0.3982100496009479,23.8,17.266312345866304
2013.5,0.3013698630136986,0.1765690718875439,0.4,0.7209161415414655,0.6526849255983507,34.3,29.152559607038846
2013.583,0.8150684931506851,0.085979361294987,0.2,0.6099127484246196,0.7834806987275442,50.5,46.501804546065
2013.25,0.0,0.0417061177017214,0.6000000000000001,0.5498061076103227,0.7661203364243647,70.1,67.29345139554243
2012.75,0.4041095890410959,0.050655373416909,0.1,0.5255695588948583,0.6217381927970109,37.4,35.596829318417576
2013.417,0.3858447488584475,0.0533291193516699,0.8,0.4293504604944473,0.7653655380634063,42.3,40.15838850637291
2012.667,0.0342465753424657,0.0,0.7000000000000001,0.4320164808531785,0.7277334483501363,47.7,47.7
2013.417,0.1027397260273972,0.3484331379809199,0.3,0.3765147842947272,0.4095320250162331,29.3,21.72892312916044
2013.417,0.2397260273972603,0.0395675293294373,0.7000000000000001,0.5236306349976303,0.7750700884191701,51.6,49.63602512025753
2012.917,0.3356164383561644,0.2067797341344159,0.1,0.24200193892392,0.8075264179424266,24.6,20.38483022557947
2013.083,0.2305936073059361,0.0395675293294373,0.7000000000000001,0.5236306349976303,0.7750700884191701,47.9,46.07685277636309
